Model,Accuracy,Precision,Recall,Auc_pr,Roc_auc,MCC,Log_loss
RandomForest,0.8787878787878788,0.583580245338225,0.7580952380952382,0.8264582303866558,0.9294117647058824,0.6273402465066737,0.3077690427303826
LogisticRegression,0.803030303030303,0.4554135741813459,0.7860696517412936,0.6303539895222731,0.8758169934640523,0.37584638378156665,0.36005330719847617
MLPClassifier,0.803030303030303,0.4494746376229364,0.7840796019900499,0.6126970595885255,0.873202614379085,0.4005261608425157,0.4019792842620933
KNeighbors,0.8484848484848485,0.7106117566643882,0.5333333333333333,0.7943181818181818,0.9333333333333333,0.5335783750799326,0.282423758691615
XGBoost,0.8181818181818182,0.45438367128112284,0.7721393034825871,0.6341012941593437,0.857516339869281,0.4365641250653994,0.4797029068153755
AdaBoost,0.8333333333333334,0.46248938879433243,0.7895833333333335,0.6577539969268436,0.8830065359477125,0.5145585715873879,0.5396898513481587
